SphericalMirror3PreShift_m1  |           AaRICH_m1  |  Spherical Mirror 1 component  |                                             0 0 0  |                                   0 0 0  | 999999   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 60.0*deg 15.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror6_m1  |           AaRICH_m1  |              SphericalMirror6  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 75.0*deg 15.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_6  |              mirror  |                            id manual 10 
 SphericalMirror7_m1  |           AaRICH_m1  |              SphericalMirror7  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 90.0*deg 15.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_7  |              mirror  |                            id manual 11 
SphericalMirror4PreShift_m1  |           AaRICH_m1  |      SphericalMirror4PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |        2700*mm 2701*mm 122*deg 12.25*deg 105.0*deg 15.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
SphericalMirror8PreShift_m1  |           AaRICH_m1  |      SphericalMirror8PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 60.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror9_m1  |           AaRICH_m1  |              SphericalMirror9  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 81.0*deg 18.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_9  |              mirror  |                            id manual 12 
SphericalMirror10PreShift_m1  |           AaRICH_m1  |     SphericalMirror10PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 99.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
SphericalMirror1PreShift_m1  |           AaRICH_m1  |      SphericalMirror1PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 60.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror5_m1  |           AaRICH_m1  |              SphericalMirror5  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 81.0*deg 18.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_5  |              mirror  |                            id manual 13 
SphericalMirror2PreShift_m1  |           AaRICH_m1  |      SphericalMirror2PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 99.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     TiltedPlane1_m1  |           AaRICH_m1  |                  TiltedPlane1  |                               0*mm 0*mm -525.0*mm  |                     30*deg 0*deg 40*deg  | 696277   |                 Box  |                                  3000.0*mm 3000.0*mm 280*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     TiltedPlane2_m1  |           AaRICH_m1  |                  TiltedPlane2  |                                0*mm 0*mm 525.0*mm  |                    -30*deg 0*deg 40*deg  | 696277   |                 Box  |                                  3000.0*mm 3000.0*mm 280*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror4_m1  |           AaRICH_m1  |     subtraction mirror4-plane  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror4PreShift_m1 - TiltedPlane1_m1  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_4  |              mirror  |                            id manual 15 
SphericalMirror10_m1  |           AaRICH_m1  |     subtraction mirror4-plane  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror10PreShift_m1 - TiltedPlane1_m1  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_10  |              mirror  |                            id manual 16 
 SphericalMirror2_m1  |           AaRICH_m1  |            subtraction mirror  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror2PreShift_m1 - TiltedPlane1_m1  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_2  |              mirror  |                            id manual 17 
 SphericalMirror3_m1  |           AaRICH_m1  |          subtraction mirror 3  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror3PreShift_m1 - TiltedPlane2_m1  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_3  |              mirror  |                            id manual 18 
 SphericalMirror8_m1  |           AaRICH_m1  |          subtraction mirror 5  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror8PreShift_m1 - TiltedPlane2_m1  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_8  |              mirror  |                            id manual 19 
 SphericalMirror1_m1  |           AaRICH_m1  |          subtraction mirror 1  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror1PreShift_m1 - TiltedPlane2_m1  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m1_mirror_spherical_1  |              mirror  |                            id manual 20 
SphericalMirror3PreShift_m2  |           AaRICH_m2  |  Spherical Mirror 1 component  |                                             0 0 0  |                                   0 0 0  | 999999   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 60.0*deg 15.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror6_m2  |           AaRICH_m2  |              SphericalMirror6  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 75.0*deg 15.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_6  |              mirror  |                            id manual 10 
 SphericalMirror7_m2  |           AaRICH_m2  |              SphericalMirror7  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |         2700*mm 2701*mm 122*deg 12.25*deg 90.0*deg 15.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_7  |              mirror  |                            id manual 11 
SphericalMirror4PreShift_m2  |           AaRICH_m2  |      SphericalMirror4PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |        2700*mm 2701*mm 122*deg 12.25*deg 105.0*deg 15.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
SphericalMirror8PreShift_m2  |           AaRICH_m2  |      SphericalMirror8PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 60.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror9_m2  |           AaRICH_m2  |              SphericalMirror9  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 81.0*deg 18.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_9  |              mirror  |                            id manual 12 
SphericalMirror10PreShift_m2  |           AaRICH_m2  |     SphericalMirror10PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |       2700*mm 2701*mm 134.25*deg 11.5*deg 99.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
SphericalMirror1PreShift_m2  |           AaRICH_m2  |      SphericalMirror1PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 60.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror5_m2  |           AaRICH_m2  |              SphericalMirror5  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 81.0*deg 18.0*deg  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_5  |              mirror  |                            id manual 13 
SphericalMirror2PreShift_m2  |           AaRICH_m2  |      SphericalMirror2PreShift  |                                   0*mm 0*mm  0*mm  |                       0*deg 0*deg 0*deg  | 696277   |              Sphere  |      2700*mm 2701*mm 145.75*deg 11.25*deg 99.0*deg 21.0*deg  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     TiltedPlane1_m2  |           AaRICH_m2  |                  TiltedPlane1  |                               0*mm 0*mm -525.0*mm  |                     30*deg 0*deg 40*deg  | 696277   |                 Box  |                                  3000.0*mm 3000.0*mm 280*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
     TiltedPlane2_m2  |           AaRICH_m2  |                  TiltedPlane2  |                                0*mm 0*mm 525.0*mm  |                    -30*deg 0*deg 40*deg  | 696277   |                 Box  |                                  3000.0*mm 3000.0*mm 280*mm  |           Component  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 SphericalMirror4_m2  |           AaRICH_m2  |     subtraction mirror4-plane  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror4PreShift_m2 - TiltedPlane1_m2  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_4  |              mirror  |                            id manual 15 
SphericalMirror10_m2  |           AaRICH_m2  |     subtraction mirror4-plane  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror10PreShift_m2 - TiltedPlane1_m2  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_10  |              mirror  |                            id manual 16 
 SphericalMirror2_m2  |           AaRICH_m2  |            subtraction mirror  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror2PreShift_m2 - TiltedPlane1_m2  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_2  |              mirror  |                            id manual 17 
 SphericalMirror3_m2  |           AaRICH_m2  |          subtraction mirror 3  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror3PreShift_m2 - TiltedPlane2_m2  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_3  |              mirror  |                            id manual 18 
 SphericalMirror8_m2  |           AaRICH_m2  |          subtraction mirror 5  |                       -458.68*mm 0*mm  3919.77*mm  |                    90*deg 0*deg -90*deg  | 696277   |Operation:@ SphericalMirror8PreShift_m2 - TiltedPlane2_m2  |                                                           0  |         CarbonFiber  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: rich_m2_mirror_spherical_8  |              mirror  |                            id manual 19 
